Codigo,Clave,desc_prod,Inv,Clasificacion,Promedio Vta Mes,Cobertura (Mes),Cobertura Dias (30)
44423,TRU PILA-10X1,PIJA P/LAMINA 10X25MM 10X1 FIERO PILA-10,3400,A,757.67,4,135
,TRU CAB-8BNVR,CABLE THW VOLTECK N0  8 COLORES X MTO.,747.4,A,263.13,3,85
44549,TRU TUE-5/16,TUERCA HEXAGONAL 08MM 5/16 FIERO,5713,A,280.75,20,610
44555,TRU TUES-3/16,TUERCA HEXAGONAL 04MM 3/16 FIERO,12206,A,353.17,35,1037
EMP1000F,PME EMP1000F,EMPLAYE MANUAL FERRETERO 18 1000 FTS. (3,3,A,242.08,0,0
101236,PIN IFMX5B,IMP. THERMOTEK 19 LTS. FIBER MAX 5 BLANC,668,A,275.25,2,73
,PIN PG5A,IMP. THERMOTEK GLN. PROMOCION 5 AÑOS BLA,199,A,201.92,1,30
44206,TRU CAB-3/16R,CABLE DE ACERO 7 X 7 FIERO 04 3/16  R-75,238.2,A,262.12,1,27
UR-2X14-500,ACE UR-2X14-500,CORDON USO RUDO SKY-FORT 2 X 14 UR-2X14-,634,A,243.77,3,78
44219,TRU CAB-1/8RX,CABLE DE ACERO 7 X 7 FIERO C/FORRO 03 1/,250,A,176.02,1,43
UR-3X12-500,ACE UR-3X12-500,CORDON USO RUDO SKY-FORT 3 X 12 UR-3X12-,433.3,A,219.58,2,59
48707,TRU PIJ-1475,PIJA TABLAROCA   14X 76MM 14X3 PIJ-1475,4577,A,158.08,29,869
POTN-12-500,ACE POTN-12-500,CORDON POT SKY-FORT 12 X MTO. POTN-12-50,244.3,A,230.65,1,32
UR-3X10-500,ACE UR-3X10-500,CORDON USO RUDO SKY-FORT 3 X 10 UR-3X10-,374,A,189.5,2,59
45429,TRU PVC-611,CONECTOR HIDR. CEM. R/EXTER. 13MM 1/2 FO,425,A,280.25,2,45
44558,TRU TORM-1/4X1,TORNILLO HEXAGONAL 06X 25 1/4 X 1 SIN TU,1044,A,214.83,5,146
44376,TRU AR-23C,ARMELLA CERRADA 23 X 110 FIERO AR-23C,1553,A,240,6,194
44650,TRU PIBR-2C,PIJA K-LATH P/BROCA 8X50MM 8 X 2,3550,A,351.08,10,303
44431,TRU PILA-12X2,PIJA P/LAMINA 12X50MM 12 X 2 FIERO PILA-,2042,A,232.17,9,264
44413,TRU PILA-8X5/8,PIJA P/LAMINA   8X16MM 8X5/8 FIERO PILA-,2976,A,152.67,19,585
MV-8327,IAD 8327,LAMPARA LED 8327 MAVRICK 1200MM 20W BCO.,474,A,197.33,2,72
44199,TRU TAQ-1/4P,TAQUETE PLASTICO FIERO 06MM 1/4 TAQ-1/4P,303,A,228.42,1,40
,NIHA CI10,CEPILLO IXTLE  10,283,A,183.25,2,46
45417,TRU PVC-261,COPLE HIDRAULICO C40 13MM 1/2 PVC-261,242,A,264.42,1,27
58647,DAN 58647,IMPERRAIN IMP. FIBRATADO 5 AÑOS 58647 19,584,A,191.67,3,91
POTN-16-500,ACE POTN-16-500,CORDON POT SKY-FORT 16 X MTO. POTN-16-50,504.92,A,218.82,2,69
44426,TRU PILA-10X2,PIJA P/LAMINA 10X50MM 10X2 FIERO PILA-10,5056,A,273.86,18,554
44632,TRU TORM-1/4X31/2,TORNILLO HEXAGONAL 06X 89 1/4 X 3 1/2 SI,39,A,247.58,0,5
12521,TRU CTF-3/4,CINTA TEFLON TRUPER 19MM CTF-3/4 19MM 3/,469,A,184.33,3,76
,NIHA MPCM,MANGO MADERA P/CEPILLO,377,A,174.25,2,65
44563,TRU TORM-1/4X3,TORNILLO HEXAGONAL 06X 76 1/4 X 3 SIN TU,673,A,288.83,2,70
44428,TRU PILA-12X1,PIJA P/LAMINA 12X25MM 12X1 FIERO PILA-12,2541,A,194.67,13,392
25076,TRU CODO-B,PLACA VOLTECK BASIC BLANCA CODO-B CONTAC,215,A,205.83,1,31
48721,TRU PILA-6X1,PIJA P/LAMINA   6X25MM 6 X 1 FIERO PILA-,3049,A,205.92,15,444
47915,TRU POPO-18G,ROSETA PORCELANA 4 1/2 REDONDA VOLTECK P,144,A,182.17,1,24
23262,TRU GU-225,GUANTE PRETUL GU-225 CARNAZA CORTO,92,A,133.08,1,21
48689,TRU PIJ-641,PIJA TABLAROCA    6X41MM 6X1 5/8 PIJ-641,1972,A,101.67,19,582
19864,TRU MAN-3/16I,MANGUERA INDL. LIGERA 05MM 3/16 TRUPER,461,A,115.05,4,120
44221,TRU CAB-3/32RX,CABLE DE ACERO 7 X 7 FIERO C/FORRO 02 3/,434,A,145.71,3,89
PT0179,PRO PT0179,THINNER PRODEL B/PLASTICO 960 ML.,277,A,230,1,36
44561,TRU TORM-1/4X2,TORNILLO HEXAGONAL 06X 51 1/4 X 2 SIN TU,559,A,237.92,2,70
002623-6,BER 002623-6,IMP. KOVER CRYL  5 BLANCO 19 LTS. 2623,356,A,153.33,2,70
45098,TRU CPVC-611,CPVC CONECTOR R/EXT. 12MM 1/2 CPVC-611,494,A,213.58,2,69
44220,TRU CAB-1/16RX,CABLE DE ACERO 7 X 7 FIERO C/FORRO 01 1/,557,A,157.11,4,106
49225,TRU RG-100,REGULADOR P/GAS  1 TANQUE RG-100 FOSET,84,A,137.25,1,18
44208,TRU CAB-1/16R,CABLE DE ACERO 7 X 7 FIERO 01 1/16 R-75M,455,A,133.17,3,103
45420,TRU PVC-761,TEE HIDRAULICA C40 13MM 1/2 FOSET PVC-76,207,A,176.42,1,35
48693,TRU PIJ-1089,PIJA TABLAROCA   10X 89MM 10X3 1/2 PIJ-1,3144,A,123.17,26,766
40141,TRU CRU-3X5,CAJA DE CONTACTOS P/CANALETA CRU-3X5 VOL,162,A,149.25,1,33
44205,TRU CAB-1/8R,CABLE DE ACERO 7 X 7 FIERO 03 1/8  R-75M,347.5,A,136.54,3,76
28061,TRU LED-60FB,FOCO LED VOLTECK BASIC LED- 60FB L. D/DI,68,A,113.92,1,18
44686,TRU ARAP-1/4,RONDANA PRESION FIERO 06MM 1/4   ARAP-1/,3032.25,A,475.01,6,192
44458,TRU ALRE-151,ALAMBRE QUEMADO CAL.15 KILO ALRE-151 F,40,A,141.83,0,8
45432,TRU PVC-601,CONECTOR HIDR. CEM. R/INT. 13MM 1/2 PVC-,323,A,186,2,52
CSKY-B-10C,ACE CSKY-B-10-500,CABLE SKY-FORT NO 10 BLANCO X METROS,539.2,A,168.29,3,96
CSKY-B-14C,ACE CSKY-B14-500,CABLE SKY-FORT NO 14 BLANCO X METROS,990.5,A,152.21,7,195
18100,TRU SBI-18,SEGUETA P/FIERRO TRUPER 18DTS BIM. SBI-1,429,A,134.42,3,96
CSKY-N-14C,ACE CSKY-N-14-500,CABLE SKY-FORT NO 14 NEGRO X METROS,551.4,A,171.47,3,96
45126,TRU CPVC-261,CPVC COPLE 13MM 1/2 FOSET CPVC-261,239,A,200.75,1,36
44207,TRU CAB-1/4R,CABLE DE ACERO 7 X 7 FIERO 05 1/4  R-75M,450,A,85.33,5,158
44688,TRU ARAP-3/8,RONDANA PRESION FIERO 10MM 3/8   ARAP-3/,2608,A,112.25,23,697
28063,TRU LED-75FB,FOCO LED VOLTECK BASIC LED- 75FB L. D/DI,86,A,96.5,1,27
,AAEL MR10M,MALLA REFORZADA DOBLE 1.10 X  10 MTS.,166,A,125.92,1,40
44375,TRU AR-22C,ARMELLA CERRADA 22 X 100 FIERO AR-22C,824,A,126.42,7,196
SNL06-020C,EMM CS90-50,CODO P/CEMENTAR 2 X 90,164,A,124.42,1,40
104270,CGM TM1/4,TAQUETE DE MADERA 06MM 1/4,800,A,70.75,11,339
21526,TRU BRP-2,BROCHA PRETUL  50MM 2 BRP-2,120,A,137.42,1,26
13879,TRU ROPI-930,RODILLO TRUPER ROPI-930 9X11/4 EXTRA RUG,70,A,143.83,0,15
28065,TRU LED-100FB,FOCO LED VOLTECK BASIC LED-100FB L.DIA,132,A,94.83,1,42
201064,PIN SGTP,IMP. THERMOTEK GLN. PROMOCION SELLO 4 LT,260,A,125.58,2,62
49714,TRU CC-561,CODO C/C CC-561 13X90 1/2 X 90 FOSET,154,A,139.33,1,33
POTN-10-500,ACE POTN-10-500,CORDON POT SKY-FORT 10 X MTO. POTN-10-50,544,A,98.03,6,166
43038,TRU PVC-001,TUBO HIDRAULICO C-40 13MM 1/2 X 3 MTS. P,130,A,147.42,1,26
44614,TRU TORE-3/16X1/2,TORNILLO GOTA 05X13 3/16 X 1/2 SIN TUERC,105,A,71.92,1,44
45412,TRU PVC-562,CODO HIDR. 90-19MM 3/4 PVC-562 CED-40 FO,386,A,135.75,3,85
436563,CGM CCB,CAJA DE CONTACTOS P/CANALETA TMK BLANCA,266,A,111.75,2,71
POTN-18-500,ACE POTN-18-500,CORDON POT SKY-FORT 18 X MTO. POTN-18-50,541.1,A,104.24,5,156
000823-6,BER 823-6,PINTURA VINIL BERELINTE 823 19 LTS.,76,A,104.92,1,22
47849,TRU CODO-LA,PLACA VOLTECK LISBOA 2 CONTACTOS DUPLEX,119,A,97.08,1,37
45413,TRU PVC-563,CODO HIDR. 90-25MM 1 PVC-563 CED-40 FOSE,163,A,112.83,1,43
44420,TRU PILA-10X1/2,PIJA P/LAMINA 10X13MM 10X1/2 FIERO PILA-,2231,A,179.17,12,374
46284,TRU CAN-1020A,CANALETA VOLTECK PLASTICA 1 VIA   CAN-10,84,A,129.42,1,19
21529,TRU BRP-4,BROCHA PRETUL 100MM 4 BRP-4,141,A,144.83,1,29
27164,TRU LED-150FB,FOCO LED VOLTECK BASIC LED-150FB L. D/DI,110,A,85.08,1,39
T3213,CIN 3213,TORNILLO P/JALADERA RECORTABLE GALV. M4,84,A,89.33,1,28
44617,TRU TORE-3/16X1,TORNILLO GOTA 05X25 3/16 X 1 SIN TUERCA,789,A,108,7,219
44209,TRU CAB- 3/32R,CABLE DE ACERO 7 X 7 FIERO 02 3/32  R-75,384.6,A,84.7,5,136
28066,TRU LED-125FB,FOCO LED VOLTECK BASIC LED-125FB L. D/DI,78,A,91.33,1,26
101999,CGM AP-2,ARILLO IDENTIFICADOR P/LLAVES AP-1,114,A,70.83,2,48
45022,TRU CLE-2 1/2B,CLAVO P/MADERA C/CABEZA  65MM 2 1/2 CLE-,208.315,A,119.19,2,52
2 CABOS,SFI MHI2C,MECAHILO IXTLE DE 2 CABOS,28.82,A,96.02,0,9
28059,TRU LED-40FB,FOCO LED VOLTECK BASIC LED- 40FB L. D/DI,48,A,68.67,1,21
44217,TRU CAB-3/16RX,CABLE DE ACERO 7 X 7 FIERO C/FORRO 04 3/,353.5,A,70.88,5,150
45101,TRU CPVC-601,CPVC CONECTOR R/INT. 13MM 1/2 CPVC-601,315,A,125.5,3,75
41032,TRU EESQ-2,ESCUADRA ESQUINERA FIERO  50MM 2 EESQ-2,314,A,107.25,3,88
JVD277,ITE JVD277,CAJA OCTAGONAL TIPO AMERICANO 4,522,A,70.75,7,221
48697,TRU PIJ-1238,PIJA TABLAROCA   12X 38MM 12X1-1/2 PIJ-1,3356,A,76.5,44,1316
44577,TRU TORM-3/8X11/2,TORNILLO HEXAGONAL 10X 38 3/8 X 1 1/2 SI,945,A,88.92,11,319
21528,TRU BRP-3,BROCHA PRETUL  76MM 3 BRP-3,134,A,136.42,1,29
VL-A55,COF VL-A55,ALIM. COFLEX VINIL 1/2 X 1/2 X 55 CM. VL,230,A,92.75,2,74
44560,TRU TORM-1/4X11/2,TORNILLO HEXAGONAL 06X 38 1/4 X 1 1/2 SI,1456,A,94.75,15,461
41033,TRU EESQ-21/2,ESCUADRA ESQUINERA FIERO  64MM 2 1/2 ESS,576,A,67.25,9,257
1040-16BL-SA25,CNO CREST25,CRESTUCO BLANCO 25 K. RECUB. BASE CEMENT,186,A,69.33,3,80
45431,TRU PVC-613,CONECTOR HIDR. CEM. R/EXTER. 25MM 1 FOSE,157,A,89,2,53
14485,TRU BRT-3,BROCHA TRUPER M/PLASTICO  76MM BRT-3,121,A,108.92,1,33
14366,TRU SOL-60/40,SOLDADURA TRUPER P/ELECTRONICA 60/40 454,448.4,A,82.47,5,163
41030,TRU EESQ-1,ESCUADRA ESQUINERA FIERO  25MM 1 EESQ-1,204,A,121.92,2,50
102280,TRU ADM-420,ADHESIVO DE MONTAJE TRUPER (NO   CLAVOS),73,A,95.92,1,23
44436,TRU PILA-14X2,PIJA P/LAMINA 14X50MM 14 X 2 PILA-14X2,2993,A,80.83,37,1111
PG4723X1CUB,CED PG4723X1CUB,PROMOCION BEREL 1 GALON 4723 X CUBETA,690,A,115.42,6,179
,PKB3+1,PAQUETE KB DE IMPERM. KOVER BLANCO 3 + 1,0,A,83.75,0,0
CSKY-N-10C,ACE CSKY-N-10-500,CABLE SKY-FORT NO 10 NEGRO X METROS,705.4,A,118.58,6,178
11603,TRU LIME-120,LIJA P/FIERRO TRUPER LIME-120 G-120 FINA,113,A,136.17,1,25
SEGUNDA,SFI POLI 6M,ROLLO DE POLIETILENO NEGRO CAL. 600 DE 6,97.1,B,50.86,2,57
44435,TRU PILA-14X11/2,PIJA P/LAMINA 14X38MM 14 X 1 1/2 FIERO P,734,A,62,12,355
17559,TRU SIL-100T,SILICON TRUPER U/GRAL. TRASNP. SIL-100T,59,A,97.5,1,18
45069,TRU CPVC-761,CPVC TEE 13MM 1/2 P/AGUA CALIENTE CPVC-7,208,A,116.08,2,54
106126,CGM HL3,OJILLO P/LONA N-3 C/2 PZAS.,905,A,50.25,18,540
46102,TRU CODO-S,CONTACTO DUPLEX POL. VOLTECK CODO-S,202,A,85.33,2,71
13877,TRU ROPI-920,RODILLO TRUPER ROPI-920 9X3/4 SEMI RUGOS,62,A,113.17,1,16
49509,TRU CE-232,CESPOL FOSET FLEXIBLE CE-232 S/CONTRA C/,135,A,96.42,1,42
14486,TRU BRT-4,BROCHA TRUPER M/PLASTICO 100MM BRT-4,135,A,96.75,1,42
004723-6,BER 4723-6,PINTURA VINIL MULTITONO PRO 4723 BLANCO,788,A,129.17,6,183
44421,TRU PILA-10X5/8,PIJA P/LAMINA 10X16MM 10X5/8 FIERO PILA-,3344,A,70.92,47,1415
22345,TRU DICOF-4516P,DISCO PRETUL DICOF-4516P 4 1/2 X 7/8 COR,86,A,93.83,1,27
11623,TRU LIAG-220,LIJA P/AGUA TRUPER  220 A-99,190,A,99.58,2,57
VL-A40,COF VL-A40,ALIM. COFLEX VINIL 1/2 X 1/2 X 40 CM. VL,229,A,85.08,3,81
48699,TRU PIJ-1250,PIJA TABLAROCA   12X 50MM 12X2 PIJ-1250,2667,A,70.92,38,1128
45042,TRU CPVC-001,CPVC TUBO P/AGUA CALIENTE CPVC-001 13MM,102,A,99.83,1,31
