Codigo,Clave,desc_prod,Inv,Clasificacion,Promedio Vta Mes,Cobertura (Mes),Cobertura Dias (30)
43444,TRU CL-40LX2,CANDADO HERMEX CL-40LX2 LATON 40MM 2 PZA,8,A,6,1,40
PT0388,PRO VRCB,VENENO P/RATA CEREAL B,3,A,9.42,0,10
SNL36-020C,EMM CES2,CONECTOR ESPIGA PVC SANITARIO DE 2,61,A,5.33,11,343
CC02S,IGE CC02S,CENTRO CARGA IGESA 2 UNID. SOBREPONER CC,20,A,6.08,3,99
45546,TRU PVC-615,CONECTOR HIDR. CEM. R/EXTER. 38MM 1 1/2,44,A,7.75,6,170
47517,TRU CG-402,NIPLE GALV. 13MM 1/2 X  3 FOSET CG-402,93,A,10.42,9,268
45070,TRU CPVC-762,CPVC TEE 19MM 3/4 P/AGUA CALIENTE CPVC-7,130,A,13.75,9,284
40735,TRU PIJ-838A,BLISTER C/14 PIJAS MULTIUSOS FIERO 8 X 1,54,A,6.5,8,249
2290,FTF RR2290,REGATON DE HULE FAMA REDONDO 2290 1/2,41,A,7.58,5,162
2254,FTF RC2254,REGATON DE HULE FAMA CUADRADO 2254 1 1/2,19,A,5.17,4,110
PH-208,COF PH-208,CONTRA COFLEX PH-208 P/LAVABO REJILLA AB,33,A,12.83,3,77
P-B6025T,COF P-B6025T,VALVULA SAPO COFLEX P-B6025T P/2 TRANSP.,74,A,10.5,7,211
4815,IAD 4815,CALEFACTOR ADIR 4815 1350W,216,B,10.33,21,627
40972,TRU CAGA-1/4A1,1 METRO DE CADENA GALVANIZADA 1/4 FIERO,8,A,5.15,2,47
28000,TRU LED-T809V,TUBO LED L.DIA  60 CM LED-T809V T8  9W F,29,A,5.75,5,151
46181,TRU MUL-4E,MULTICONTACTO POL.  4 CONTACTOS MUL-4E V,25,A,10.5,2,71
47143,TRU POLCA- 6,PORTALAMPARA C/CABLE  6 MTS. POLCA- 6 VO,18,A,7.92,2,68
22040,TRU REF-400L,REFLECTOR REF-400L LED  10W ULTRADELGAD,15,A,8,2,56
45591,TRU PA-APCO15-EB,PLACA VOLTECK ESPAÑOLA PA-APCO15-EB 1 AP,18,A,7.17,3,75
46144,TRU PPC-I,PLACA VOLTECK ITALIANA MARFIL CIEGA PPC-,48,A,7.42,6,194
46123,TRU CO-H,CONTACTO VOLTECK CO-H HULE 2 P/ZAS. 15A,60,A,7.75,8,232
46531,TRU POPO-10,PORTALAMPARA POPO-10 VOLTECK P/CANDIL,66,A,12.42,5,159
100079,TRU REP-NM-10X,REPUESTO P/CUTTER REP-NM-10X P/NV-7X Y N,4,A,5.83,1,21
14074,TRU DP-1/4X4,DESARMADOR BAR.RED.PHILLIPS DP-1/4X4 TRU,40,A,8.08,5,148
14286,TRU GU-725,GUANTE TRUPER GU-725 PIEL DE CABRA,17,A,8.67,2,59
16951,TRU RASP-2,NAVAJA LIMPIA VIDRIOS 2 POSICIONES RASP-,29,A,8.58,3,101
44469,TRU ALG-200,ALAMBRE GALV. FIERO NO 20.0 KGO. ALG-200,44,A,7.58,6,174
14046,TRU HIL-65R,HILO P/ALBAÑIL TRUPER CHICO HIL-65R 65 M,27,A,9,3,90
28021,TRU LIRE-3CG,LAMPARA DE MANO LED RECARGABLE LIRE- 3CG,39,A,7.5,5,156
15363,TRU LT-34,LONA TRUPER GRIS LT-  34      3 X 4 MTS.,8,A,8.42,1,29
20212,TRU JD-4TP,DESARMADOR DE  4 PZAS. JD-4TP PRETUL OFE,7,A,5.33,1,39
49890,TRU GUPO-90AN,GUARDAPOLVO HERMEX AUTOM. GUPO-90AN NEGR,12,A,7.5,2,48
15884,TRU T-460-16P,MACHETE PULIDO STD. T-460-16P 16 TRUPER,23,A,8.17,3,84
15147,TRU AFI-CUX,AFILADOR DE CUCHILLOS AFI-CUX TRUPER,5,A,5.75,1,26
49695,TRU RO-50EM,RODAJA FIERO ESFERA C/ESPIGA RO-50EM 50M,45,A,6,8,225
006003-4,BER 6003-4,BASE ESMALTE SUMMA 6003 DEEP  1 LTO.,66,A,7.67,9,258
48562,TRU CM-562,CODO INSERCION 13MM 1/2 PVC FOSET CM-562,32,A,5.83,5,165
44608,TRU TORE-5/32X3/4,TORNILLO GOTA 04X19 5/32 X 3/4 SIN TUERC,2019,A,5,404,12114
44557,TRU TORM-1/4X3/4,TORNILLO HEXAGONAL 06X 19MM 1/4 X 3/4 SI,1022,A,25.5,40,1202
49909,TRU GC-3/16,GUARDACABO FIERO GALVANIZADO 02 3/16,202,A,5.17,39,1173
42413,TRU VARO-3/8,VARILLA ROSCADA GALV. FIERO 10MM 3/8 X 1,30,A,6.83,4,132
2638,FTF MI32M,MANGUERA INDL. LIGERA 32MM 1 1/4,8,B,5,2,48
505714,CGM AT19,AISLANTE P/TUBERIA 19MM 3/4,72,A,10.92,7,198
46032,TRU AO-2,ABRAZADERA OMEGA  50MM C/5 PZAS. AO-2 VO,31,A,9.17,3,101
45597,TRU PA-APCO-E2B,PLACA VOLTECK ESPAÑOLA PA-APCO-E2B 2APAG,22,A,8.42,3,78
46212,TRU LED-V3FC,FOCO LED VOLTECK T/VELA L.CALIDA LED-V3F,9,A,5.08,2,53
27048,TRU CS-75IBP,CERRADURA HERMEX BASIC CS-75IBP IZQ. INS,22,A,9,2,73
11675,TRU DLT-1719,DISCO LAMINADO 4 1/2 X7/8 G-120 DLT-1719,16,A,7.17,2,67
49195,TRU POL-6R,PUNTA POOL  6CM C/ROSCA FOSET POL- 6R,53,A,11.17,5,142
12565,TRU ABT-774,DISCO TRUPER ABT-774 4 1/2 X 1/4 X 7/8 M,18,A,12.5,1,43
46306,TRU CAGU-4,CALENTADOR DE AGUA VOLTECK CAGU- 4 750W,36,A,8.17,4,132
49247,TRU R-504,REGADERA FOSET AQUA R-504 REDONDA C/BRAZ,14,A,6.5,2,65
43653,TRU CEMA-3B,CERRADURA HERMEX CEMA-3B MANIJA S/LLAVE,14,A,8.25,2,51
17160,TRU PRY-P,PALA REDONDA T-2000 PRY-P M/CORTO TRUPER,26,A,7.42,4,105
48633,TRU RO-2210F,RODAJA FIERO RO-2210F D/POLIETILENO 2 C/,5,A,6.58,1,23
25018,TRU MAN-20X1/2PR,MANGUERA P/JARDIN PRETUL MAN-20X1/2PR 1/,10,A,8.33,1,36
23396,TRU CF-GA-P,CARTUCHO P/MASCARILLA PRETUL CF-GA-P P/G,22,A,6.5,3,102
14326,TRU EMX-18,ESCOBA P/JARDIN 18 DTS. METALICA EMX-18,6,A,5.33,1,34
000601-4,BER 601-4,PINTURA ESMALTE SUMMA 601  1 LTO.,23,A,8.42,3,82
MV-8914,IAD MV-8914,FOCO MAVRIK INCANDESCENTE T/VELA 8914 40,157,A,8.58,18,549
49537,TRU FPOL-6,FLOTADOR DE POLIURETANO  N-6 FOSET FPOL-,17,A,12.5,1,41
48979,TRU STO-5,SOPORTE CENTRAL STO-5 P/TUBO OVALADO CRO,52,A,8.33,6,187
AG-A150,COF AG-A150,COFLEX P/GAS ACERO AG-A150 5/16 X 5/16 X,65,A,11.67,6,167
106584,CGM TPR-221,RAT KILL TRAMPA C/PEGAMENTO CHICA 2 PZA.,13,A,7.5,2,52
104053,CGM TM08,TUERCA MARIPOSA 08MM 5/16,57,C,4.92,12,348
SZBS1905,DAN SZBS1905,REGATON BLANCO REDONDO SHUTZ D/HULE 16 P,243,B,5.25,46,1389
69773,DAN TC5X5C23,TELA PARA CRIBA 5 X 5 0.90CM CAL. 0.55,28.6,A,4.88,6,176
46901,TRU TF-3/4,TUBO PLICA 19MM 3/4,325,A,5.25,62,1857
48981,TRU CIN-12020,CINCHO D/PLASTICO CIN- 12020 C/10 PZAS.,29,A,8.42,3,103
48216,TRU F-55EC,FOCO AHORRADOR VOLTECK F- 55EC L.D 55W 1,28,A,6.33,4,133
46528,TRU POPO-14,PORTALAMPARA POPO-14 VOLTECK PORCELANA,49,A,9.25,5,159
41038,TRU ECAN-11/2,ESCUADRA CANTONERA FIERO  38MM 1 1/2 ECA,330,A,8.17,40,1212
12466,TRU BRT-1C,BROCHA TRUPER PELO DE CAMELLO M/MADERA,36,A,9.33,4,116
14057,TRU HIL-165Z,HILO P/ALBAÑIL TRUPER GRANDE HIL-165Z 16,32,A,7.33,4,131
17629,TRU HTA-105,HILO P/DESBROZADORA .105 X 12 MTS. HTA-1,27,A,11.75,2,69
21538,TRU GOT-P,MONOGOGLE CLARO PRETUL GOT-P,16,A,8.25,2,58
23712,TRU RAT-5P,TRAMPA P/RATON PLASTICA 5 PRETUL RAT-5P,27,A,7.08,4,114
44523,TRU R-48B,REMACHE R- 48B 1/8-1/2 C/50 PZAS. FIERO,40,A,6.75,6,178
43441,TRU CL-40XL,CANDADO HERMEX CL-40XL LATON 40MM G.EXL.,21,A,9.08,2,69
13121,TRU CONO-45R,CONO NARANJA 45 CM C/REF. TRUPER CONO-45,5,A,6.42,1,23
19623,TRU DUO-3/16X4B,DESARMADOR DE  2 PZAS. 3/16 DUO-3/16X4B,9,A,5.83,2,46
44596,TRU TORM-1/2X3,TORNILLO HEXAGONAL 13X 76 1/2 X 3 SIN TU,106,A,5.25,20,606
44725,TRU TORC-5/16X3,TORNILLO CABEZA COCHE 08X 76 5/16 X 3 SI,410,B,4.83,85,2545
42008,TRU TAQ-1/2TP,TAQUETE P/TABLAROCA FIERO TAQ-1/2TP P/PA,15,A,8.75,2,51
47373,TRU TAE-3/16,TAQUETE EXPANSOR S/TOR. 04MM 4 PZS.TAE-3,49,A,8,6,184
40723,TRU AR-23AB,BLISTER ARMELLAS ABIERTAS AR-23AB 23X110,26,A,6.58,4,118
EC-026L,EMM CLV19MM,CONECTOR PVC LIGERO 19MM 3/4,85,A,7.75,11,329
,ECE PBT,CATO PAQ.BCO.(TAZA ALARG.TULIPANTANQ.BER,14,A,6.08,2,69
505713,CGM AT13,AISLANTE P/TUBERIA 13MM 1/2,39,A,7.17,5,163
006850-3,BER 006850-3,PINTURA ESMALTE AEROSOL ACRILICO ALUMINI,44,A,9.33,5,141
006815-3,BER 006815-3,PINTURA ESMALTE AEROSOL ACRILICO GRIS BE,64,A,9.08,7,211
AD-2989,IAD AD-2989,ADIR AD-2989 LAMPARA GIRATORIA LED RGB P,68,A,8.08,8,252
48284,TRU GCU-16N,GRAPA VOLTECK GCU-16N CURVA NEGRA 16MM 2,55,A,11,5,150
48489,TRU PA-COAP-S,PLACA VOLTECK STD MARFIL PA-COAP-S 1 APA,29,A,11.08,3,78
41010,TRU LILE-21U,LAMPARA DE MANO LED RECARGABLE LILE-21U,35,A,5.25,7,200
14450,TRU ET-4F,ESPATULA TRUPER FLEX. PROF. 4 ET-4F,32,A,7.25,4,132
16050,TRU MAN-10X1/2RE,MANGUERA P/JARDIN TRUPER REF. 3 CAPAS MA,11,A,10.5,1,31
102327,TRU MAS-PLEN,MASCARILLA RESPIRADOR PLEGABLE N95 TRUPE,26,A,7.83,3,100
18460,TRU T-67,TIJERA P/PODAR T- 67 FLURICULTURA Y JARD,29,A,11.17,3,78
48580,TRU CM-601,ADAPTADOR INSERCION PVC 13MM R/INT. 1/2,103,A,8.58,12,360
15248,TRU GU-245,GUANTE TRUPER GU-245 CARNAZA CORTO,7,A,11,1,19
10612,TRU AL-0M,AZADON TRUPER LANE NO 0 C/MANGO AL-0M,4,A,6.17,1,19
15416,TRU CHS-600A,CHALECO CHS-600A AZUL CINTAS DOBLES C/RE,22,A,6.08,4,108
20614,TRU EST-5P,ESTANTE PLASTICO 5 REPISAS PRETUL EST-5P,6,A,6.83,1,26
19752,TRU MAS-B,MASCARILLA TRUPER P/POLVOS C/10 PZAS. MA,13,A,7.58,2,51
43602,TRU CERO-32,CERRADURA HERMEX CERO-32 SEG. LL/LL CROM,14,A,7.42,2,57
001600-4,BER 001600-4,BARNIZ SUMMA TRANSPARENTE 1600  1 LTO.,32,A,10.42,3,92
000624-5,BER 624-5,PINTURA ESMALTE SUMMA 624  4 LTS.,6,A,9.33,1,19
SNL01-420C,EMM TPVC4X20,TEE P/CEMENTAR 4 X 2,77,A,6.5,12,355
MX6995,AAM MX6995,COMBO CERRADURA MX6995 PHILLIPS TAMPICO,30,A,8.42,4,107
45895,TRU TR-512,TUBO P/CORTINERO REDONDO CROMADO 1 X 1.2,25,A,8.67,3,87
46583,TRU STR-3N,SOPORTE CENTRAL STR-3N P/TUBO REDONDO NE,89,A,5.5,16,485
3853,CIN 3853,JALADERA CH 3853 BOTON NIQUL SATINADO,31,A,4.75,7,196
681135,FSM 681135,PALANCA P/WC FLUIDMASTER PLASTICA 681135,6,A,7.5,1,24
6102,FSM 6102,EMPAQUE DE ACOPLAR P/WC FLUIDMASTER 2P.,37,A,7.17,5,155
44408,TRU PIBR-1 1/2R,PIJA HEXAG. P.BROCA FIERO 14X38 1 1/2 C/,28,A,11.92,2,70
47705,TRU MED-11NS,MENSULA DEC. ACERO FIERO M.S 11 X 8 NEGR,24,A,8.17,3,88
49911,TRU GC-1/4,GUARDACABO FIERO GALVANIZADO 03 1/4,155,A,7.33,21,634
4801,IAD 4801,CALEFACTOR/RADIADOR ADIR 4801 D/ACEITE 9,2,B,6.67,0,9
MV-8970,IAD MV-8970,FOCO LED MAVRIK 8970 RGB C/BOCINA 10W Y,55,A,6.33,9,261
19869,TRU MAN-5/8I,MANGUERA INDL. LIGERA 16MM 5/8 TRUPER,548.5,A,18.88,29,872
PAQ.IMPERR,CED PIMPERR,PAQUETE 14 IMPERRAIN 5 AÑOS 1 CUBETA 1 G,0,A,11.58,0,0
KT4X3,CED KT4X3,PAQUETE KT DE IMPER. KOVER  TERRACOTA 3,0,A,5.17,0,0
48042,TRU ER-2X16,VOLTECK EXTENCION USO RUDO  2 MTS. ER-2X,29,A,12.67,2,69
46492,TRU PA-APSE-OB,PLACA VOLTECK OSLO BCA. 1 APAG.SEN. PA-A,34,A,9,4,113
22130,TRU MAN-10X1/2P,MANGUERA P/JARDIN PRETUL MAN-10X1/2P 1/2,13,A,6.92,2,56
11112,TRU BAV-5/64,BROCA P/FIERRO 02 5/64 TRUPER BAV-5/64,83,A,8.58,10,290
21523,TRU E-3R,ESPATULA PRETUL RIGIDA M/PLASTICO 3 E-3R,25,A,11.25,2,67
14445,TRU ET-4P,ESPATULA TRUPER 4 PLASTICO ET-4P,47,A,9.83,5,143
21607,TRU PRO-3MEC,FLEXOMETRO  3 MTS. PRETUL PRO-3MEC CAJA,159,A,29.5,5,162
14322,TRU EM-22,ESCOBA P/JARDIN 22 DTS. METALICA EM-22 T,34,A,7.58,4,135
49366,TRU CE-218,CESPOL FOSET FLEXIBLE CE-218 P/LAVABO PV,7,A,8.67,1,24
12503,TRU M-33A,CINTA D/AISLAR 19MMX18MTS. AMAR. M-33A T,32,A,14.17,2,68
15885,TRU T-460-18P,MACHETE PULIDO STD. T-460-18P 18 TRUPER,21,A,10.42,2,60
20654,TRU PBCHAP-14P,PROMOCION PINTURA 1 CHAROLA PRETUL P/ROD,23,A,12,2,58
12722,TRU CLICK-ACC,CONECTOR CLICK P/MANGUERA CLOCK-ACC TRUP,28,A,9,3,93
18026,TRU GU-152,GUANTE TRUPER GU-152 POLIESTER MEDIANO,44,A,6.25,7,211
14663,TRU CHS-900R,CHALECO BRIGADISTA C/REFLEJANTE CHS-900R,20,A,5.5,4,109
24039,TRU LIRE-7CG,LAMPARA DE MANO LED RECARGABLE PRETUL LI,25,A,5.25,5,143
23731/504,CED 23731/504,TRAMONTINA 23731/504 CUCHILLO MESA,123,B,8.33,15,443
44-CC,RUG 44-CC,REGADERA FIG. 44-CC CROMADA SIN BRAZO RU,17,A,7.67,2,67
45538,TRU PVC-237,REDUCCION HIDRAUL. 50X38MM 2 X 1 1/2 FOS,17,A,5,3,102
49546,TRU VAF-22,VARILLA P/FLOTADOR DE WC 22CM. FOSET VAF,52,A,9.67,5,161
48702,TRU PIJ-1289,PIJA TABLAROCA   12X 89MM 12X3 1/2 PIJ-1,3377,A,27.42,123,3695
PR-E102,COF PR-E102,REGADERA ELECTRICA COFLEX SUPERIOR 4 TEM,17,A,5.33,3,96
008002-6,BER 008002-6,BASE BERELINTE 7 8002 TINT 19 LTS.,62,A,9,7,207
48001,TRU ED-2C,VOLTECK EXTENCION ED- 2C  2 MTS. CAFE,24,A,9.92,2,73
47182,TRU MUL-6,MULTICONTACTO POL.  6 CONTACTOS MUL-6 C/,25,A,8.33,3,90
45594,TRU PA-APCO-E3B,PLACA VOLTECK ESPAÑOLA PA-APCO-E3B 1 APA,19,A,8.25,2,69
28016,TRU REF-404L,REFLECTOR REF-404L LED 100W ULTRADELGADO,26,A,8.75,3,89
10032,TRU MINI-4B,ABRAZADERA FIERO   10- 16MM MINI-4B SINF,30,A,9,3,100
11567,TRU ABT-742,DISCO TRUPER ABT-742 14 X 1/8 X 1 METAL,5,A,7.17,1,21
14061,TRU HIL-165N,HILO P/ALBAÑIL TRUPER GRANDE HIL-165N 16,14,A,8.33,2,50
16750,TRU MA-7,MARTILLO D/UÑA CURVA 7 OZ. MA- 7 TRUPER,16,A,8.42,2,57
44023,TRU BSE-5/16,BANDOLA CON SEGURO FIERO 04 7.9MM BSE-5/,23,A,10.92,2,63
13996,TRU DR-1/4X4,DESARMADOR STD.BAR.RED. DR-1/4X4 TRUPER,23,A,7.42,3,93
22502,TRU PRD-P,PALA REDONDA PRD-P M/CORTO PRETUL,25,A,7.08,4,106
14493,TRU BREN-5,BROCHA DE IXTLE TRUPER BREN-5 5,40,A,7.33,5,164
12752,TRU BCT-3/16X4-B,BROCA P/CONCRETO BLISTER 01 BCT-3/16 X 4,5,A,7.5,1,20
15266,TRU GU-412,GUANTE TRUPER GU-412 P/JARDINERIA MEDIAN,17,A,6.67,3,77
14669,TRU CHS-900N,CHALECO CHS-900N BRIGADISTA C/REFLEJANTE,-27,A,5.58,-5,-145
28309,TRU BASE-5EPP,BASCULA DIGITAL PRETUL P/COCINA 5 KGS. B,5,A,6.25,1,24
45685,TRU BR-300B,BISAGRA HERMEX D/ACERO BR-300B RECTANG.,21,A,5.92,4,106
48612,TRU RO-1216,RODAJA FIERO RO-1216 D/HULE 4 C/PLACA GI,17,A,4.75,4,107
000620-4,BER 620-4,PINTURA ESMALTE SUMMA 620  1 LTO.,24,A,9.42,3,76
001090-5,BER 1090-5,REDUCTOR 1090  4 LTS.,13,A,6.75,2,58
QO115,CRE QO115,UNIDAD QO  115,23,A,6.5,4,106
MV-8917,IAD MV-8917,FOCO MAVRIK INCANDESCENTE T/VELA 8917 40,114,A,7.58,15,451
3420,CIN 3420,NIVELADOR ATORNILLABLE 1/4 METALICO 3420,18,A,4.58,4,118
44407,TRU PIBR-1 1/4R,PIJA HEXAG. P.BROCA FIERO 14X32 1 1/4 C/,32,A,7.92,4,121
P-B2060,COF P-B2060,TORNILLO COFLEX P/ASIENTO SANITARIO P-B2,47,A,7.17,7,197
119670,CGM R2-42,PLASTIACERO JERINGA R2-42 NORMAL 25 ML.,9,A,9.25,1,29
117465,CGM 117465,CINTA MULTIUSOS PENNSYLVANIA  4.7MM X 7.,13,A,7.42,2,53
006800-3,BER 006800-3,PINTURA ESMALTE AEROSOL ACRILICO TRANSPA,63,A,7.83,8,241
,IUN CTHW4,CABLE IUSA THHW  4,135,C,4.54,30,892
48002,TRU ED-2V,VOLTECK EXTENCION ED- 2V  2 MTS. VERDE,24,A,7.33,3,98
47836,TRU PA-APTR-LA,PLACA VOLTECK LISBOA 3 INTERRUPTORES SEN,18,A,7.25,2,74
46116,TRU COP-S,CONTACTO VOLTECK C/ABR. COP-S POL. 15A 1,67,A,8,8,251
46931,TRU CLQ-3/4R,CONECTOR LIQUID TIGHT 19MM 3/4 RECTO VOL,32,A,6.42,5,150
27075,TRU CHB-30PL,CANDADO HERMEX CHB-30PL HIERRO 30MM LATO,16,A,9.58,2,50
20528,TRU CDU-10P,CINTA DUCTO ALUMINIO 48MM X 10 MTS. CDU-,31,A,11.75,3,79
12718,TRU REF-5/8-3/4,CONECTOR PLASTICO HEMBRA P/MANGUERA REF-,20,A,8.75,2,69
19082,TRU CORAL-HEM-1/4,CONECTOR RAPIDO HEMBRA CORAL-HEM-1/4 TRU,27,A,10.33,3,78
21052,TRU CT-8P,CUCHARA P/ALBAÑIL PRETUL  8 CT-8P,9,A,8.75,1,31
10848,TRU GU-615,GUANTE TRUPER GU-615 USOS MULTIPLE,22,A,9.67,2,68
19939,TRU ORG-17X,ORGANIZADOR C/17 COMPART. ORG-17X TRUPER,7,A,6.83,1,31
19049,TRU PA-AC,PINTURA AEROSOL TRUPER PA-AC AMARILLO CA,29,A,13.58,2,64
18179,TRU STP-16X,SERROTE TRUPER P/PODA 16 CON GANCHO STP-,17,A,7.17,2,71
43319,TRU CHB-45,CANDADO HERMEX CHB-45 HIERRO 45MM GC,30,A,8.92,3,101
49213,TRU M-060I,MEZCLADORA FOSET BASIC M-060I P/LAVABO,4,A,7.5,1,16
19793,TRU MAN-25X1/2X,MANGUERA P/JARDIN TRUPER REF. 4 CAPAS MA,11,A,5.92,2,56
65012,TRU PARAG-130,PARAGUAS TRUPER PARAG-130,25,A,7.08,4,106
17631,TRU HLB-155,HILO P/DESBROZADORA 3.3MM X 47 MTS HLB-1,2,A,6.67,0,9
13127,TRU CONO-90R,CONO NARANJA 90 CM C/REF. TRUPER CONO-90,16,A,7.75,2,62
45683,TRU BR-200B,BISAGRA HERMEX D/ACERO BR-200B RECTANG.,9,A,4.5,2,60
201055,PIN CTB,IMP. CEMENTO PLASTICO THERMOTEK BLANCO 1,4,A,6.42,1,19
18YDLED430MV40B,IEO 18YDLED430MV40B,TECNO 18YDLED430MV40B LUMINARIO EMPOTRAD,1,B,4.5,0,7
CM38R,VALE C38R,CAMISA MEZCLILLA STAR JEANS CO. C/REFLEJ,12,A,5.25,2,69
PM38,VALE 38,PANTALON MEZCLILLA T-38 WEST SILVER&CO.,27,A,4.92,5,165
,CAMA CHIX,CHULO DE IXTLE,141,A,4.92,29,860
44-AR,RUG 44-AR,REGADERA FIG. 44-AR ARTIC CROMADA SIN BR,11,A,6.5,2,51
48352,TRU PEPU-03,GANCHO PERCHERO PEPU-03 SENCILLO CROMO M,29,A,4.67,6,186
45527,TRU PVC-865,CODO HIDRAUL. 45-38MM 11/2 FOSET PVC-865,140,A,4.92,28,854
45537,TRU PVC-236,REDUCCION HIDRAUL. 38X25MM 1 1/2 X 1 FOS,36,A,5.25,7,206
43968,TRU CG-227,RED. BUSHING GALV. 13X10 1/2 X 3/8 CG-22,42,B,4.83,9,261
49701,TRU CC-262,COPLE C/C CON TOPE 19MM 3/4 CC-262 FOSET,84,A,6.25,13,403
40079,TRU MGAN-50,MANGUERA FLEXIBLE NEGRA PVC 3/8 X 5 MTS.,14,A,7.42,2,57
100AM133,FSM 100AM133,VALVULA TANQUE BAJO FLUIDMASTER ECONO. 1,204,A,12.75,16,480
44631,TRU TORE-1/4X3,TORNILLO GOTA 06X75 1/4 X 3 SIN TUERCA T,281,B,5.33,53,1581
44727,TRU TORC-5/16X4,TORNILLO CABEZA COCHE 08X102 5/16 X 4 SI,256,C,4.5,57,1707
47564,TRU TAE-8X45A,TAQUETE EXPANSOR C/ARMELLA ABIERTA TAE-,30,A,9.83,3,92
47811,TRU PIO-1015,CUERDA DE POLIPROPILENO MULTICOLOR 10MM,22,A,7,3,94
2251,FTF RC2251,REGATON DE HULE FAMA CUADRADO 2251 3/4,19,A,5.17,4,110
C4TA-019,DMT TH19MM,TUBO HIDRAULICO C-40 19MM 3/4 X 6 MTS.,63,A,6.08,10,311
P-B6004,COF P-B6004,PALANCA P/WC COFLEX P-B6004 FRONTAL ZAMA,14,A,6.67,2,63
SZBS1904,DAN SZBS1904,REGATON BLANCO REDONDO SHUTZ D/HULE 13 P,59,A,5.25,11,337
K2P+ABA,CED K2P+ABA,SUPER COMBO 2 CUBETAS 2623 + VENTILADOR,0,A,8.67,0,0
43285,TRU COR-335,CORREDERA FIERO P/CAJON COR-335 35CM EXT,27,A,10.33,3,78
17968,TRU ET-50-1/2,GRAPA TRUPER ET-50-1/2,19,A,8.67,2,66
21815,TRU PET-8P,LLAVE PERICO PRETUL N 8 PET- 8P,29,A,12.67,2,69
62080,TRU PSOL-135,PARASOL P/AUTO PSOL-135 TRUPER OFERTA,14,A,7.75,2,54
49453,TRU R-511S,REGADERA FOSET DE PLATO ANCHO CUADRADA 8,27,A,9.33,3,87
14929,TRU ACES-4T-34,ACEITE TRUPER P/MOTOR 4 TIEMPOS 946ML SA,40,A,6.17,6,195
49241,TRU MR-100,MANERAL FOSET BASIC MR-100 C/CHAPETON P/,13,A,5.92,2,66
45516,TRU FP-319P,MEZCLADORA FOSET BASIC FP-319P ABS FREGA,8,A,5.25,2,46
45115,TRU ALG-200B,ALAMBRE GALV. FIERO 20 ALG-200B C/30 GRS,50,A,7.33,7,205
10823,TRU LEN-LEZ,LENTE SEGURIDAD TRUPER LEN-LEZ ESPEJO AZ,9,A,5.25,2,51
44055,TRU TEN-5/16A,TENSOR FIERO GANCHO-ARGOLLA 8MM TEN-5/16,23,A,5.67,4,122
45684,TRU BR-250B,BISAGRA HERMEX D/ACERO BR-250B RECTANG.,13,A,4.42,3,88
22302/400,TME 22302/400,TRAMONTINA 22302/400 TENEDOR MESA DYNAMI,0,A,4.75,0,0
CE-204-10,ACE CE-204-10,EXTENSION ELECTRICA SKY FORT USO RUDO 10,1,A,4.5,0,7
B-98-CE,RUG B98-CE,CARTUCHO FIG.B-98-CE P/EMPOTRAR D/CUADRO,3,A,7.42,0,12
300000,ROT FES-01R,CARTUCHO DE REPUESTO FILTRO ROTOPLAS P/E,4,A,5.17,1,23
57020,TRU PASA-H,PASTILLA AROMATIZANTE KLINTEK PASA-H,114,A,18,6,190
45525,TRU PVC-566,CODO HIDR. 90-50MM 2 PVC-566 CED-40 FOSE,29,A,8.92,3,98
45107,TRU CPVC-641,CPVC CONECTOR R/INT. 13MM 1/2 C/INSERTO,40,A,9.92,4,121
49347,TRU FL-004,FLOTADOR ELECTRICO 3 MTS. FLE-3 FOSET,21,A,7.17,3,88
40754,TRU ARA-1/2A,BLISTER RONDANA PLANA FIERO C/35 PZAS. 1,32,A,6.08,5,158
44606,TRU TORE-5/32X1/2,TORNILLO GOTA 04X13 5/32 X 1/2 SIN TUERC,1778,B,4.42,403,12077
ST2770,DAN ST2770,CABLE DE DATOS USB TIPO C ST 2770 1.5MT,53,A,5.83,9,273
44472,TRU CUE-04K,CABLE PLASTICO  4 MM 3/16 FIERO CUE-04K,83.9365,A,6.47,13,389
44815,TRU CLE-1 1/2B,CLAVO P/MADERA C/CABEZA  38MM 1 1/2 CLE-,56.905,A,6.6,9,258
44543,TRU ARA-1/4,RONDANA PLANA FIERO 06MM 1/4   ARA-/1/4,33.42,A,8.97,4,112
46374,TRU LED-T809,TUBO LED L.DIA  60 CM LED-T809 T8  9 W F,30,A,5,6,180
48044,TRU ER-6X16,VOLTECK EXTENCION USO RUDO  6 MTS. ER-6X,18,A,14.67,1,37
47349,TRU PLA-217L,LAMPARA PLA-217L T/PLAFON 24W 120 LEDS,12,A,5.67,2,64
48985,TRU CIN-17545,CINCHO D/PLASTICO CIN- 17545 C/10 PZAS.,14,A,6.25,2,67
48202,TRU F-7EM,FOCO AHORRADOR VOLTECK F-  7EM L.D 7W 12,23,A,8.08,3,85
46987,TRU EDA-2B,VOLTECK EXTENCION EDA-2B  2 MTS. BLANCA,13,A,5.92,2,66
46926,TRU AO-3/8,ABRAZADERA OMEGA  10MM C/10 PZAS. AO-3/8,47,A,5.58,8,253
47962,TRU PA-APSE3-LB,PLACA VOLTECK LISBOA 1 INTER. SENCILLO 3,92,A,4.92,19,561
12973,TRU SELO-30,SEPARADOR P/LOSETA TRUPER SELO- 30 3.0MM,17,A,7.58,2,67
